titre,categorie,description,quantite,prix,pointBonus,identifiant,lienImageOuVideo,nombreDeLike,PrixPromotionnel,PointsBonusPromotion,dateFinPromotion
ciseaux,Papeterie;maped;kikoupefort;Autre,rouge,0,5.5,5,55,null,0,null,null,null
compas,Papeterie;maped;compas;Autre,bleu,0,4.5,5,54,null,0,null,null,null
gomme,Papeterie;maped;gommecool;Autre,bleue et rose,5,3.0,5,53,null,0,null,null,null
stylo,Papeterie;bic;stylo;Autre,bleu,4,2.5,5,52,null,0,null,null,null
classeur,Papeterie;clairfontaine;flexregle;Classeur,flexible,8,6.5,5,52,null,0,null,null,null
surligneur,Papeterie;bic;fluo;Surligneur,jaune,4,3.5,5,51,null,0,null,null,null
chaise,EquipementBureau;Ikea;JKLÜSTROSCH;ChaiseDeBureau,grande avec accoudoirs,100,100.0,100,56,null,0,null,null,null
lampe,EquipementBureau;Ikea;ÜSQUYQVSSCH;LampeDeBureau,lampe à intesité réglable,38,15.0,10,50,null,0,null,null,null
support ordinateur portable,EquipementBureau;hp;hp;SupportOrdinateurPortable,support pour ordinateur portable,38,20.0,10,49,null,0,null,null,null
ordinateur,MaterielInformatique;Asus;gamer;2019;1;1;OrdinateurPortable,Asus gamer,10,499.99,10,48,null,0,null,null,null
souris,MaterielInformatique;Logitech;kisallume;2020;1;1;Souris,usb,10,10.99,10,57,null,0,null,null,null
souris sans fil,MaterielInformatique;Logitech;kisallume;2020;1;1;Souris,bluetooth,10,19.99,10,57,null,0,null,null,null
Clavier,MaterielInformatique;razer;clavier;2023;1;1;Clavier,usb,10,100.0,10,47,null,0,null,null,null
Disque dur externe,MaterielInformatique;Seagate;disque;2021;1;1;DisqueDurExterne,usb,10,39.99,10,46,null,0,null,null,null
Ecouteurs sans fil,MaterielInformatique;Apple;ecouteurs;2021;1;1;Ecouteurs,bluetooth,10,99.99,10,45,null,0,null,null,null
Ecouteurs,MaterielInformatique;Apple;ecouteurs;2021;1;1;Ecouteurs,aux,10,19.99,10,44,null,0,null,null,null
Casque,MaterielInformatique;Sony;casque;2022;1;1;Autre,aux,10,49.99,10,43,null,0,null,null,null
Calcul 1,Livres;9783140464079;Antoine de Saint-Exupéry;Lulu Press;Roman;1943;4;6;2;3,en bon etat,1,50.0,50,58,null,0,null,null,null
Guide etude chimie 3,Ressource;53829103725415;Jean Chimiste;Chimiste pour la vie;2003;11;15;Electronique;3,20 pages,80,9.99,9,59,null,0,null,null,null
TechStudyMate,MaterielInformatique;StudyLab;x95;2021;4;27;OrdinateurPortable,Ordinateur portable ultra-leger pour une etude sans contrainte,4,89.99,89,314467563,non,0,null,null,null